,TOTAL POINTS,TRIES SCORED,SUCCESSFUL PENALTY KICKS,SUCCESSFUL CONVERSIONS,GOAL KICKING %,CARRIES,METRES CARRIED,TOTAL PASSES,OFFLOADS,LINEBREAKS,KICKS IN PLAY,MADE TACKLE %,TACKLES MADE,TACKLES MISSED,ATTACKING RUCK ARRIVALS,DEFENSIVE RUCK ARRIVALS,LINEOUT TAKES,LINEOUT STEALS,LINEOUTS WON,SCRUM WIN %,WINNER
0,183,20,18,13.0,75.61,596,424.2,720,73,35,99,90.85,685,69,1329,281,46.0,3.0,53.0,57.47,1
1,168,17,17,16.0,84.62,520,1505.3,651,43,31,143,86.2,768,123,1281,299,65.0,8.0,67.0,62.3,0
2,140,12,19,10.0,82.86,598,977.8,664,76,38,124,90.49,733,77,1207,169,69.0,4.0,76.0,62.03,0
3,111,8,18,7.0,78.13,534,1514.5,695,70,29,116,86.26,672,107,1015,231,61.0,2.0,66.0,75.41,0
4,106,9,10,8.0,78.26,478,324.0,481,65,15,124,83.23,789,159,1088,304,56.0,2.0,60.0,56.96,0
5,95,9,11,7.0,60.0,623,370.3,728,82,25,138,87.15,692,102,1372,328,66.0,16.0,70.0,64.41,0
6,229,29,12,24.0,83.72,692,902.5,944,109,52,98,89.03,617,76,1384,240,50.0,5.0,61.0,75.0,1
7,129,11,20,7.0,67.5,589,893.8,765,70,31,133,86.96,687,103,1312,281,65.0,14.0,68.0,64.52,0
8,125,10,14,9.0,79.31,557,1062.4,714,69,22,127,88.4,724,95,1305,241,57.0,2.0,64.0,81.01,0
9,115,9,17,8.0,75.76,544,2219.3,664,67,38,107,90.72,929,95,958,286,37.0,6.0,45.0,81.25,0
10,106,8,17,6.0,82.14,546,1196.5,491,51,12,109,86.84,739,112,1216,425,44.0,3.0,51.0,67.65,0
11,92,8,13,5.0,62.07,591,801.7,832,86,21,119,87.5,833,119,1187,394,61.0,9.0,67.0,74.67,0
12,184,23,8,21.0,90.63,515,3672.3,998,83,46,120,89.99,656,73,1083,59,50.23529411764706,4.5,55.64705882352941,78.38,0
13,156,15,20,9.0,67.44,397,2653.8,777,66,39,124,88.16,685,92,824,73,47.23529411764706,4.117647058823529,52.1764705882353,78.87,1
14,145,16,17,7.0,70.59,348,2062.3,627,36,27,132,87.72,829,116,772,72,53.294117647058826,5.882352941176471,56.88235294117647,71.25,0
15,119,11,14,11.0,89.29,403,2238.6,766,73,25,123,87.53,730,104,818,63,50.705882352941174,3.3125,56.23529411764706,59.49,0
16,91,6,17,5.0,66.67,416,2087.7,899,63,27,127,86.5,615,96,916,76,47.294117647058826,5.411764705882353,54.05882352941177,68.18,0
17,70,4,13,4.0,85.0,396,1484.6,565,30,16,128,84.03,621,118,907,65,50.05882352941177,2.8125,55.64705882352941,75.0,0
18,173,18,12,16.0,90.32,491,3327.4,929,76,50,128,88.77,751,95,1190,90,50.23529411764706,4.5,55.64705882352941,69.81,1
19,153,17,14,13.0,72.97,394,2505.0,826,61,42,154,88.68,705,90,796,75,47.23529411764706,4.117647058823529,52.1764705882353,81.63,0
20,119,10,16,6.0,70.97,339,2226.7,675,30,36,184,85.38,683,117,892,44,53.294117647058826,5.882352941176471,56.88235294117647,70.0,0
21,100,12,6,8.0,66.67,526,2923.1,783,66,35,116,84.9,669,119,1183,55,50.05882352941177,2.8125,55.64705882352941,68.83,0
22,82,10,5,7.0,57.14,375,2281.4,802,73,43,140,88.72,692,88,868,55,50.705882352941174,3.3125,56.23529411764706,67.39,0
23,81,7,12,5.0,77.27,406,2510.3,730,53,31,128,86.79,762,116,850,48,47.294117647058826,5.411764705882353,54.05882352941177,71.43,0
24,150,17,15,10.0,78.13,484,2056.1,788,55,35,132,87.95,591,81,1000,68,50.23529411764706,4.5,55.64705882352941,73.21,0
25,144,14,18,10.0,73.68,436,1499.2,862,65,50,140,89.01,680,84,957,51,47.23529411764706,4.117647058823529,52.1764705882353,78.85,1
26,128,17,7,11.0,62.07,396,1605.0,658,43,37,136,87.98,732,100,990,48,53.294117647058826,5.882352941176471,56.88235294117647,64.0,0
27,125,14,13,8.0,65.63,413,1686.7,842,59,49,118,88.17,790,106,892,83,50.705882352941174,3.3125,56.23529411764706,68.06,0
28,53,4,7,3.0,71.43,487,1700.3,830,46,25,145,86.02,646,105,1024,63,47.294117647058826,5.411764705882353,54.05882352941177,71.01,0
29,42,2,9,1.0,71.43,396,2007.0,597,29,19,135,83.91,892,171,976,89,50.05882352941177,2.8125,55.64705882352941,69.12,0
30,151,17,12,12.0,70.59,397,1497.4,734,66,45,145,87.11,804,119,1087,162,50.705882352941174,3.3125,56.23529411764706,68.42,1
31,134,13,14,9.0,69.7,319,1658.4,685,54,49,124,86.62,641,99,928,106,47.23529411764706,4.117647058823529,52.1764705882353,77.55,0
32,126,12,14,9.0,74.19,282,959.0,540,43,29,150,89.21,620,75,857,100,53.294117647058826,5.882352941176471,56.88235294117647,60.29,0
33,121,16,6,10.0,51.61,476,3030.0,807,53,50,138,87.13,474,70,1368,107,50.23529411764706,4.5,55.64705882352941,68.42,0
34,84,8,12,4.0,69.57,444,1515.5,755,63,30,149,83.64,629,123,1167,158,47.294117647058826,5.411764705882353,54.05882352941177,79.49,0
35,55,5,8,3.0,50.0,350,1972.8,556,42,13,165,83.16,632,128,1063,107,50.05882352941177,2.8125,55.64705882352941,67.27,0
36,148,18,12,11.0,65.71,351,2402.3,702,45,50,182,86.62,725,112,1124,355,47.23529411764706,4.117647058823529,52.1764705882353,89.8,1
37,131,12,17,10.0,75.0,469,2054.6,820,68,65,136,88.8,634,80,1332,298,53.294117647058826,5.882352941176471,56.88235294117647,69.7,0
