COUNTRY,YEAR,TOTAL POINTS,TRIES SCORED,TRY ASSISTS,SUCCESSFUL PENALTY KICKS,SUCCESSFUL CONVERSIONS,GOAL KICKING %,ATTACKING 22M ENTRIES,POINTS PER 22M ENTRY,CARRIES,METRES CARRIED,TOTAL PASSES,OFFLOADS,LINEBREAKS,KICKS IN PLAY,MADE TACKLE %,TACKLES MADE,TACKLES MISSED,ATTACKING RUCK ARRIVALS,DEFENSIVE RUCK ARRIVALS,BREAKDOWN STEALS,LINEOUT TAKES,LINEOUT STEALS,LINEOUTS WON,SCRUM WIN %,METRES GAINED,% RUCKS 0-3 SECONDS,% RUCKS 4-6 SECONDS,% RUCKS OVER 6 SECONDS
ENGLAND,2000,183,20,19,18,13,75.61,46,8.07,596,424.2,720,73,35,99,90.85,685,69,1329,281,12,46,3,53,57.47,,,,
IRELAND,2000,168,17,17,17,16,84.62,54,10.67,520,1505.3,651,43,31,143,86.2,768,123,1281,299,11,65,8,67,62.3,,,,
FRANCE,2000,140,12,13,19,10,82.86,62,6.29,598,977.8,664,76,38,124,90.49,733,77,1207,169,8,69,4,76,62.03,,,,
WALES,2000,111,8,8,18,7,78.13,45,5.23,534,1514.5,695,70,29,116,86.26,672,107,1015,231,12,61,2,66,75.41,,,,
ITALY,2000,106,9,9,10,8,78.26,52,6.86,478,324,481,65,15,124,83.23,789,159,1088,304,13,56,2,60,56.96,,,,
SCOTLAND,2000,95,9,9,11,7,60,31,8.75,623,370.3,728,82,25,138,87.15,692,102,1372,328,12,66,16,70,64.41,,,,
ENGLAND,2001,229,29,29,12,24,83.72,66,13.7,692,902.5,944,109,52,98,89.03,617,76,1384,240,11,50,5,61,75,,,,
IRELAND,2001,129,11,11,20,7,67.5,70,5.05,589,893.8,765,70,31,133,86.96,687,103,1312,281,22,65,14,68,64.52,,,,
WALES,2001,125,10,10,14,9,79.31,44,9.19,557,1062.4,714,69,22,127,88.4,724,95,1305,241,14,57,2,64,81.01,,,,
FRANCE,2001,115,9,9,17,8,75.76,44,7.98,544,2219.3,664,67,38,107,90.72,929,95,958,286,11,37,6,45,81.25,,,,
ITALY,2001,106,8,8,17,6,82.14,35,9.27,546,1196.5,491,51,12,109,86.84,739,112,1216,425,16,44,3,51,67.65,,,,
SCOTLAND,2001,92,8,8,13,5,62.07,48,8.29,591,801.7,832,86,21,119,87.5,833,119,1187,394,20,61,9,67,74.67,,,,
ENGLAND,2002,184,23,,8,21,90.63,,,515,3672.3,998,83,46,120,89.99,656,73,1083,59,,,,,78.38,,,,
FRANCE,2002,156,15,,20,9,67.44,,,397,2653.8,777,66,39,124,88.16,685,92,824,73,,,,,78.87,,,,
IRELAND,2002,145,16,,17,7,70.59,,,348,2062.3,627,36,27,132,87.72,829,116,772,72,,,,,71.25,,,,
WALES,2002,119,11,,14,11,89.29,,,403,2238.6,766,73,25,123,87.53,730,104,818,63,,,,,59.49,,,,
SCOTLAND,2002,91,6,,17,5,66.67,,,416,2087.7,899,63,27,127,86.5,615,96,916,76,,,,,68.18,,,,
ITALY,2002,70,4,,13,4,85,,,396,1484.6,565,30,16,128,84.03,621,118,907,65,,,,,75,,,,
ENGLAND,2003,173,18,,12,16,90.32,,,491,3327.4,929,76,50,128,88.77,751,95,1190,90,,,,,69.81,,,,
